mole fraction,density,surface tension,xsph,
0,1000,0.072,0
0.02,1005,0.072,0.02
0.04,1010,0.072,0.04
0.06,1015,0.072,0.06
0.08,1020,0.072,0.08
0.1,1025,0.072,0.1
0.12,1030,0.072,0.12
0.14,1035,0.072,0.14
0.16,1040,0.072,0.16
0.18,1045,0.072,0.18
0.2,1050,0.072,0.2
0.22,1055,0.072,0.22
0.24,1060,0.072,0.24
0.26,1065,0.072,0.26
0.28,1070,0.072,0.28
0.3,1075,0.072,0.3
0.32,1080,0.072,0.32
0.34,1085,0.072,0.34
0.36,1090,0.072,0.36
0.38,1095,0.072,0.38
0.4,1100,0.072,0.4
0.42,1105,0.072,0.42
0.44,1110,0.072,0.44
0.46,1115,0.072,0.46
0.48,1120,0.072,0.48
0.5,1125,0.072,0.5
0.52,1130,0.072,0.52
0.54,1135,0.072,0.54
0.56,1140,0.072,0.56
0.58,1145,0.072,0.58
0.6,1150,0.072,0.6
0.62,1155,0.072,0.62
0.64,1160,0.072,0.64
0.66,1165,0.072,0.66
0.68,1170,0.072,0.68
0.7,1175,0.072,0.7
0.72,1180,0.072,0.72
0.74,1185,0.072,0.74
0.76,1190,0.072,0.76
0.78,1195,0.072,0.78
0.8,1200,0.072,0.8
0.82,1205,0.072,0.82
0.84,1210,0.072,0.84
0.86,1215,0.072,0.86
0.88,1220,0.072,0.88
0.9,1225,0.072,0.9
0.92,1230,0.072,0.92
0.94,1235,0.072,0.94
0.96,1240,0.072,0.96
0.98,1250,0.072,1
